City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Atar,MR,20.5169,-13.0499,89.6,20,72,16.11,broken clouds
300,Milove,UA,49.3787,40.1302,30.74,96,83,10.71,broken clouds
301,Porto Torres,IT,40.835,8.3972,57.2,77,75,13.8,broken clouds
302,Port Elizabeth,ZA,-33.918,25.5701,75.2,64,0,13.8,clear sky
303,Tawau,MY,4.2498,117.8871,75.2,94,20,5.19,moderate rain
304,Longhua,CN,23.6137,114.1919,56.5,79,0,1.48,clear sky
305,Rambouillet,FR,48.5833,1.9167,48.0,94,100,6.91,light rain
306,Beloha,MG,-25.1667,45.05,82.09,69,8,8.9,clear sky
307,Shaoyang,CN,27.2315,111.4525,50.63,83,76,6.11,broken clouds
308,Iquique,CL,-20.2208,-70.1431,71.6,60,0,9.22,clear sky
309,Talnakh,RU,69.4865,88.3972,-28.35,71,22,9.57,few clouds
310,Ginda,IN,30.6945,78.4932,41.86,53,0,5.35,clear sky
311,Tefe,BR,-3.3542,-64.7114,82.4,89,40,4.61,scattered clouds
312,Progreso,MX,21.2833,-89.6667,80.01,64,20,9.22,few clouds
313,Ayan,RU,56.45,138.1667,-16.44,80,100,12.66,overcast clouds
314,Toamasina,MG,-18.1667,49.3833,84.2,74,20,4.61,light rain
315,Seoul,KR,37.5683,126.9778,42.8,65,75,4.61,broken clouds
316,Plaster Rock,CA,46.9065,-67.39,10.0,66,75,6.91,broken clouds
317,Kijang,KR,35.2442,129.2139,53.6,66,75,10.36,light rain
318,Chokurdakh,RU,70.6333,147.9167,-29.09,85,27,10.49,scattered clouds
319,Severo-Kurilsk,RU,50.6789,156.125,21.92,94,100,41.76,light snow
320,Karoi,ZW,-16.8099,29.6925,72.32,91,99,3.02,light rain
321,Sinnamary,GF,5.3833,-52.95,80.28,75,40,14.16,scattered clouds
322,Aginskoye,RU,51.1,114.53,-16.19,81,13,15.82,few clouds
323,Sindor,RU,62.8629,51.8905,22.66,98,100,10.78,light snow
324,Porto Santo,PT,33.072,-16.3415,64.4,77,20,10.36,few clouds
325,Aksu,CN,41.1231,80.2644,21.43,79,72,1.7,broken clouds
326,Suchedniow,PL,51.0478,20.8292,25.0,67,0,4.61,clear sky
327,Dentsville,US,34.064,-80.9582,48.99,100,90,3.96,light rain
328,Rosario,AR,-32.9468,-60.6393,71.01,77,90,13.8,overcast clouds
329,Cabedelo,BR,-6.9811,-34.8339,86.0,66,75,13.8,broken clouds
330,Cabo San Lucas,MX,22.8909,-109.9124,62.6,82,75,3.44,broken clouds
331,Calama,CL,-22.4667,-68.9333,71.6,13,0,5.75,clear sky
332,Cangucu,BR,-31.395,-52.6756,82.4,69,75,2.3,broken clouds
333,San Cristobal,VE,7.7669,-72.225,78.8,61,40,6.91,scattered clouds
334,San Andres,CO,12.5847,-81.7006,80.6,74,40,11.5,scattered clouds
335,Port Hardy,CA,50.6996,-127.4199,44.6,100,40,4.61,light rain
336,Faanui,PF,-16.4833,-151.75,80.87,75,100,10.71,overcast clouds
337,East London,ZA,-33.0153,27.9116,78.8,78,75,8.05,broken clouds
338,Salta,AR,-24.7859,-65.4117,71.6,68,75,8.05,broken clouds
339,Ocampo,MX,21.65,-101.5,63.63,30,0,13.04,clear sky
340,Biak,ID,-0.9131,122.8766,78.08,75,100,6.02,overcast clouds
341,Honolulu,US,21.3069,-157.8583,71.6,73,90,10.36,light rain
342,Asau,RO,46.4333,26.4,30.99,63,100,3.24,light snow
343,Belmonte,BR,-15.8631,-38.8828,84.2,74,40,9.22,scattered clouds
344,Richards Bay,ZA,-28.783,32.0377,84.02,74,1,12.28,clear sky
345,Puerto El Triunfo,SV,13.2833,-88.55,84.2,73,0,5.75,clear sky
346,Colonia,DE,50.9333,6.95,37.0,80,75,12.66,broken clouds
