,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Zhengjiatun,CN,43.5064,123.5064,8.11,89,95,5.08,overcast clouds
302,Tautira,PF,-17.7333,-149.15,80.6,74,75,19.57,light rain
303,Jacmel,HT,18.2342,-72.5347,77.0,65,65,6.91,broken clouds
304,Parrita,CR,9.5201,-84.3225,69.8,73,20,17.27,few clouds
305,Upington,ZA,-28.4478,21.2561,64.4,34,0,4.61,clear sky
306,Waipawa,NZ,-41.4122,175.5153,69.01,72,0,12.66,clear sky
307,Petit Goave,HT,18.4314,-72.8669,77.0,65,36,6.91,scattered clouds
308,Nanortalik,GL,60.1432,-45.2371,28.74,90,100,10.87,overcast clouds
309,Huesca,ES,42.1362,-0.4087,45.0,81,75,11.5,broken clouds
310,Jalu,LY,29.0331,21.5482,58.23,45,0,11.07,clear sky
311,Hervey Bay,AU,-25.2986,152.8535,86.0,45,40,14.97,scattered clouds
312,Cherskiy,RU,68.75,161.3,-35.16,83,0,1.19,clear sky
313,Victoria Point,AU,-27.5833,153.3,86.0,68,7,4.0,clear sky
314,Kudat,MY,6.8837,116.8477,82.4,74,20,13.8,few clouds
315,Vicuna,CL,-30.0319,-70.7081,64.4,94,90,3.44,overcast clouds
316,Kurchum,KZ,48.5722,83.6542,-6.5,91,55,1.05,broken clouds
317,Ipora,BR,-16.4419,-51.1178,71.42,84,99,1.68,overcast clouds
318,Port Hedland,AU,-20.3167,118.5667,93.2,49,90,11.5,overcast clouds
319,Bandarbeyla,SO,9.4942,50.8122,73.6,72,99,15.84,overcast clouds
320,Emirdag,TR,39.0197,31.15,36.63,91,92,6.71,overcast clouds
321,Waitati,NZ,-45.75,170.5667,59.0,78,100,25.99,overcast clouds
322,Maarianhamina,AX,60.0973,19.9348,26.6,100,90,9.22,light snow
323,San Luis,AR,-33.295,-66.3356,62.53,73,0,19.53,clear sky
324,Victoria,HK,22.2855,114.1577,70.0,40,0,12.66,clear sky
325,Zelenoborskiy,RU,66.845,32.3622,10.0,96,100,3.51,overcast clouds
326,Kalmunai,LK,7.4167,81.8167,77.31,85,100,5.19,light rain
327,Ewa Beach,US,21.3156,-158.0072,82.4,47,40,5.75,scattered clouds
328,Beyneu,KZ,45.3167,55.2,33.78,92,100,12.44,overcast clouds
329,Alyangula,AU,-13.8483,136.4192,87.8,70,40,9.22,scattered clouds
330,Amarpur,IN,25.0333,86.9,48.49,56,0,3.38,clear sky
331,Payakumbuh,ID,-0.2202,100.6308,74.34,79,100,2.28,overcast clouds
332,Puerto Quijarro,BO,-17.7833,-57.7667,79.75,69,89,4.05,overcast clouds
333,Inta,RU,66.0317,60.1659,-2.56,88,100,8.59,overcast clouds
334,Danshui,CN,22.7984,114.4672,70.0,59,0,5.55,clear sky
335,Skjervoy,NO,70.0311,20.9714,28.13,88,100,5.03,overcast clouds
336,Riberalta,BO,-10.9833,-66.1,75.76,91,100,1.32,light rain
337,Muros,ES,42.7762,-9.0603,55.99,90,100,5.99,overcast clouds
338,Airai,TL,-8.9266,125.4092,63.77,100,100,5.79,overcast clouds
339,Tecoanapa,MX,16.5167,-98.75,76.91,80,75,3.29,broken clouds
340,Pelym,RU,61.0108,61.9978,-5.89,91,100,3.04,overcast clouds
341,Adrar,MR,20.5022,-10.0711,64.58,26,55,6.87,broken clouds
342,Marzuq,YE,14.4,46.4667,56.79,57,0,2.98,clear sky
343,Petropavl,KZ,54.8753,69.1628,12.79,94,100,8.16,overcast clouds
344,Atar,MR,20.5169,-13.0499,66.7,23,50,8.79,scattered clouds
345,Usinsk,RU,65.9939,57.5281,-1.55,93,100,10.51,overcast clouds
346,Iquique,CL,-20.2208,-70.1431,69.8,68,0,8.05,clear sky
347,Isangel,VU,-19.55,169.2667,84.2,74,75,11.5,broken clouds
